pc: 0.6000000000000001   ps: 0.11999999999999995   ph: 0.11999999999999995   pp: 0.16000000000000003   p_coef: 0.001   add(X1, sub(X1, -0.922))   length: 5   depth: 2   mae: 0.023913846147098277
pc: 0.55   ps: 0.1433333333333333   ph: 0.1433333333333333   pp: 0.16333333333333333   p_coef: 0.0005   add(sqrt(-0.850), add(X1, X1))   length: 6   depth: 2   mae: 0.023925394376491157
pc: 0.9000000000000004   ps: 0.029999999999999884   ph: 0.029999999999999884   pp: 0.03999999999999987   p_coef: 0.001   add(0.926, add(X1, X1))   length: 5   depth: 2   mae: 0.023928758224052885
pc: 0.7000000000000002   ps: 0.07999999999999992   ph: 0.07999999999999992   pp: 0.14   p_coef: 0.001   add(add(X1, X1), 0.926)   length: 5   depth: 2   mae: 0.023944478492662347
pc: 0.7500000000000002   ps: 0.07999999999999992   ph: 0.07999999999999992   pp: 0.08999999999999996   p_coef: 0.001   sub(add(X1, X1), -0.926)   length: 5   depth: 2   mae: 0.023945187212143226
pc: 0.6000000000000001   ps: 0.11666666666666663   ph: 0.11666666666666663   pp: 0.16666666666666663   p_coef: 0.0015   add(div(X1, 0.555), 0.994)   length: 5   depth: 2   mae: 0.023959631329319418
pc: 0.8000000000000003   ps: 0.04666666666666656   ph: 0.04666666666666656   pp: 0.10666666666666663   p_coef: 0.0015   add(add(X1, X1), 0.922)   length: 5   depth: 2   mae: 0.023966786999572574
pc: 0.6000000000000001   ps: 0.11333333333333329   ph: 0.11333333333333329   pp: 0.17333333333333334   p_coef: 0.0015   add(sqrt(0.858), add(X1, X1))   length: 6   depth: 2   mae: 0.02396726543428398
pc: 0.6500000000000001   ps: 0.09333333333333327   ph: 0.09333333333333327   pp: 0.16333333333333333   p_coef: 0.001   add(add(X1, X1), 0.927)   length: 5   depth: 2   mae: 0.023986237666557136
pc: 0.7500000000000002   ps: 0.06333333333333324   ph: 0.06333333333333324   pp: 0.1233333333333333   p_coef: 0.0015   add(add(X1, X1), sqrt(-0.849))   length: 6   depth: 2   mae: 0.02398668758103448
pc: 0.7500000000000002   ps: 0.07999999999999992   ph: 0.07999999999999992   pp: 0.08999999999999996   p_coef: 0.0015   add(add(X1, X1), sqrt(-0.849))   length: 6   depth: 2   mae: 0.023998970793794254
pc: 0.6000000000000001   ps: 0.11666666666666663   ph: 0.11666666666666663   pp: 0.16666666666666663   p_coef: 0.001   add(sqrt(0.849), add(X1, X1))   length: 6   depth: 2   mae: 0.024001329845497694
pc: 0.7500000000000002   ps: 0.05999999999999991   ph: 0.05999999999999991   pp: 0.12999999999999995   p_coef: 0.001   add(X1, add(0.905, X0))   length: 5   depth: 2   mae: 0.024033381539244208
pc: 0.55   ps: 0.13999999999999999   ph: 0.13999999999999999   pp: 0.16999999999999996   p_coef: 0.0015   add(add(X1, X1), sqrt(0.849))   length: 6   depth: 2   mae: 0.024061080650079506
pc: 0.7500000000000002   ps: 0.08333333333333326   ph: 0.08333333333333326   pp: 0.08333333333333326   p_coef: 0.001   add(add(X1, 0.621), add(X1, 0.300))   length: 7   depth: 2   mae: 0.024078318886611876
pc: 0.5   ps: 0.1433333333333333   ph: 0.1433333333333333   pp: 0.21333333333333337   p_coef: 0.0005   add(add(0.438, X1), add(0.489, X1))   length: 7   depth: 2   mae: 0.02408472858085368
